ID,Region,RegionName,StateName,CountyName,CityName,ForecastYoYPctChange,
48423,County,Smith County,TX,Smith County,NA,4.480286738,
51173,County,Smyth County,VA,Smyth County,NA,2.109181141,
39151,County,Stark County,OH,Stark County,NA,2.158828065,
29209,County,Stone County,MO,Stone County,NA,2.337814144,
28131,County,Stone County,MS,Stone County,NA,0.791556728,
19169,County,Story County,IA,Story County,NA,2.050997783,
37171,County,Surry County,NC,Surry County,NA,4.260651629,
29213,County,Taney County,MO,Taney County,NA,3.482920295,
16081,County,Teton County,ID,Teton County,NA,7.07264445,
56039,County,Teton County,WY,Teton County,NA,0.209765762,
36107,County,Tioga County,NY,Tioga County,NA,0.791765637,
48449,County,Titus County,TX,Titus County,NA,2.773109244,
30101,County,Toole County,MT,Toole County,NA,-2.560240964,
13281,County,Towns County,GA,Towns County,NA,5.439144004,
20195,County,Trego County,KS,Trego County,NA,0.457317073,
13285,County,Troup County,GA,Troup County,NA,5.241605242,
40143,County,Tulsa County,OK,Tulsa County,NA,0.847457627,
48457,County,Tyler County,TX,Tyler County,NA,2.826510721,
13291,County,Union County,GA,Union County,NA,5.529522024,
18161,County,Union County,IN,Union County,NA,9.964412811,
22111,County,Union Parish,LA,Union Parish,NA,5.648720212,
28145,County,Union County,MS,Union County,NA,2.811950791,
37179,County,Union County,NC,Union County,NA,3.906899418,
34039,County,Union County,NJ,Union County,NA,3.262372132,
41061,County,Union County,OR,Union County,NA,4.079551249,
47173,County,Union County,TN,Union County,NA,4.524886878,
13293,County,Upson County,GA,Upson County,NA,5.125,
37181,County,Vance County,NC,Vance County,NA,2.65674814,
55125,County,Vilas County,WI,Vilas County,NA,0.931372549,
38099,County,Walsh County,ND,Walsh County,NA,0,
41065,County,Wasco County,OR,Wasco County,NA,6.320968963,
18177,County,Wayne County,IN,Wayne County,NA,2.10748156,
26163,County,Wayne County,MI,Wayne County,NA,9.059233449,
28153,County,Wayne County,MS,Wayne County,NA,0.105042017,
37191,County,Wayne County,NC,Wayne County,NA,1.26146789,
36117,County,Wayne County,NY,Wayne County,NA,4.357298475,
39169,County,Wayne County,OH,Wayne County,NA,2.448979592,
42127,County,Wayne County,PA,Wayne County,NA,3.313253012,
47181,County,Wayne County,TN,Wayne County,NA,1.877346683,
54099,County,Wayne County,WV,Wayne County,NA,0.71942446,
49057,County,Weber County,UT,Weber County,NA,5.484330484,
18179,County,Wells County,IN,Wells County,NA,4.050073638,
05145,County,White County,AR,White County,NA,4.511894996,
13311,County,White County,GA,White County,NA,5.361790734,
18181,County,White County,IN,White County,NA,4.453781513,
47185,County,White County,TN,White County,NA,5.311973019,
36123,County,Yates County,NY,Yates County,NA,2.194148936,
22001,County,Acadia Parish,LA,Acadia Parish,NA,0.421940928,
36001,County,Albany County,NY,Albany County,NA,0.266666667,
56001,County,Albany County,WY,Albany County,NA,1.978199435,
28003,County,Alcorn County,MS,Alcorn County,NA,2.478551001,
26007,County,Alpena County,MI,Alpena County,NA,2.995391705,
06005,County,Amador County,CA,Amador County,NA,-0.292207792,
29003,County,Andrew County,MO,Andrew County,NA,3.229892337,
26009,County,Antrim County,MI,Antrim County,NA,3.775959723,
04001,County,Apache County,AZ,Apache County,NA,3.601440576,
48009,County,Archer County,TX,Archer County,NA,-4.96,
53003,County,Asotin County,WA,Asotin County,NA,2.149574563,
39009,County,Athens County,OH,Athens County,NA,1.960784314,
48015,County,Austin County,TX,Austin County,NA,3.583373149,
20007,County,Barber County,KS,Barber County,NA,-1.232032854,
38003,County,Barnes County,ND,Barnes County,NA,1.605839416,
55005,County,Barron County,WI,Barron County,NA,3.300330033,
13013,County,Barrow County,GA,Barrow County,NA,6.246634356,
20009,County,Barton County,KS,Barton County,NA,-1.673101673,
13015,County,Bartow County,GA,Bartow County,NA,5.304299274,
05005,County,Baxter County,AR,Baxter County,NA,2.286135693,
48023,County,Baylor County,TX,Baylor County,NA,0.339558574,
42007,County,Beaver County,PA,Beaver County,NA,1.40944327,
27005,County,Becker County,MN,Becker County,NA,3.383297645,
05007,County,Benton County,AR,Benton County,NA,4.664570231,
19011,County,Benton County,IA,Benton County,NA,1.914191419,
18007,County,Benton County,IN,Benton County,NA,4.161566707,
27009,County,Benton County,MN,Benton County,NA,3.697916667,
41003,County,Benton County,OR,Benton County,NA,3.818283166,
47005,County,Benton County,TN,Benton County,NA,6.800445931,
53005,County,Benton County,WA,Benton County,NA,10.11017498,
26019,County,Benzie County,MI,Benzie County,NA,5.673027334,
34003,County,Bergen County,NJ,Bergen County,NA,1.186692096,
16013,County,Blaine County,ID,Blaine County,NA,4.569781803,
48031,County,Blanco County,TX,Blanco County,NA,1.52284264,
01009,County,Blount County,AL,Blount County,NA,3.683492497,
47009,County,Blount County,TN,Blount County,NA,4.158004158,
16017,County,Bonner County,ID,Bonner County,NA,8.018018018,
48035,County,Bosque County,TX,Bosque County,NA,3.741231489,
26023,County,Branch County,MI,Branch County,NA,4.051565378,
48041,County,Brazos County,TX,Brazos County,NA,3.426222019,
19017,County,Bremer County,IA,Bremer County,NA,2.733214498,
36007,County,Broome County,NY,Broome County,NA,-0.093720712,
17011,County,Bureau County,IL,Bureau County,NA,0.955794504,
20015,County,Butler County,KS,Butler County,NA,2.68404908,
29023,County,Butler County,MO,Butler County,NA,4.124513619,
39017,County,Butler County,OH,Butler County,NA,2.7133974,
54011,County,Cabell County,WV,Cabell County,NA,1.12244898,
13039,County,Camden County,GA,Camden County,NA,5.147484095,
29029,County,Camden County,MO,Camden County,NA,2.674988854,
34007,County,Camden County,NJ,Camden County,NA,0.847936687,
47015,County,Cannon County,TN,Cannon County,NA,2.802460697,
16027,County,Canyon County,ID,Canyon County,NA,9.648033126,
30009,County,Carbon County,MT,Carbon County,NA,2.808471455,
42025,County,Carbon County,PA,Carbon County,NA,2.06052801,
48065,County,Carson County,TX,Carson County,NA,-0.112739572,
40019,County,Carter County,OK,Carter County,NA,1.809954751,
47019,County,Carter County,TN,Carter County,NA,3.67278798,
27019,County,Carver County,MN,Carver County,NA,2.917771883,
16031,County,Cassia County,ID,Cassia County,NA,3.842159917,
53007,County,Chelan County,WA,Chelan County,NA,4.500918555,
12017,County,Citrus County,FL,Citrus County,NA,5.593536358,
13059,County,Clarke County,GA,Clarke County,NA,4.43107221,
51043,County,Clarke County,VA,Clarke County,NA,3.293845709,
01031,County,Coffee County,AL,Coffee County,NA,1,
13069,County,Coffee County,GA,Coffee County,NA,2.581369248,
47031,County,Coffee County,TN,Coffee County,NA,4.368932039,
48085,County,Collin County,TX,Collin County,NA,1.836243227,
06011,County,Colusa County,CA,Colusa County,NA,3.156958648,
13077,County,Coweta County,GA,Coweta County,NA,4.662743323,
20035,County,Cowley County,KS,Cowley County,NA,-0.288184438,
37049,County,Craven County,NC,Craven County,NA,3.562176166,
27037,County,Dakota County,MN,Dakota County,NA,3.991811668,
19049,County,Dallas County,IA,Dallas County,NA,2.954833263,
48113,County,Dallas County,TX,Dallas County,NA,4.201680672,
13085,County,Dawson County,GA,Dawson County,NA,4.610194903,
30021,County,Dawson County,MT,Dawson County,NA,1.990898749,
28033,County,DeSoto County,MS,DeSoto County,NA,2.349726776,
13089,County,Dekalb County,GA,Dekalb County,NA,5.848513902,
47041,County,Dekalb County,TN,Dekalb County,NA,5.163636364,
48121,County,Denton County,TX,Denton County,NA,2.102407596,
08031,County,Denver County,CO,Denver County,NA,-0.023546032,
17039,County,Dewitt County,IL,Dewitt County,NA,0.822561692,
38021,County,Dickey County,ND,Dickey County,NA,5.900621118,
18037,County,Dubois County,IN,Dubois County,NA,4.337050805,
37063,County,Durham County,NC,Durham County,NA,4.322033898,
08039,County,Elbert County,CO,Elbert County,NA,6.223215949,
